name,smiles,aryl,core,linker,warhead,MW,logP,QED,nRot,sim_parent
gen_CF3-ph_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3=CCC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,piperidine,cyclobutenylamide,441.5,2.59,0.719,2,0.341
gen_CF3-ph_9Me-pu_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,piperidine,fluoroacrylamide,433.4,2.35,0.539,2,0.283
gen_CF3-ph_9Me-pu_pipe_propi,C#CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,piperidine,propiolamide,413.4,1.5,0.666,1,0.269
gen_CF3-ph_9Me-pu_pipe_acety,CC(=O)N1CCC2CCN=c3c(ncn3C)=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,9Me-purine,piperidine,acetyl,403.4,1.89,0.73,1,0.281
gen_CF3-ph_9Me-pu_pipe_cyclo,Cn1cnc2c1=NCCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(C(F)(F)F)cc1,CF3-phenyl,9Me-purine,piperidine,cyclopropanecarbonyl,429.4,2.28,0.735,2,0.275
gen_CF3-ph_7-deaz_azet_acryl,C=CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,acrylamide,372.4,1.87,0.804,2,0.282
gen_CF3-ph_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,cyclobutenylamide,398.4,2.4,0.83,2,0.287
gen_CF3-ph_7-deaz_azet_fluor,C=C(F)C(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,fluoroacrylamide,390.3,2.16,0.62,2,0.211
gen_CF3-ph_7-deaz_azet_propi,C#CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,propiolamide,370.3,1.31,0.756,1,0.198
gen_CF3-ph_7-deaz_azet_acety,CC(=O)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,acetyl,360.3,1.7,0.827,1,0.213
gen_CF3-ph_7-deaz_azet_cyclo,O=C(C1CC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,azetidine,cyclopropanecarbonyl,386.4,2.09,0.844,2,0.202
gen_CF3-ph_7-deaz_pyrr_acryl,C=CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,acrylamide,386.4,2.26,0.791,2,0.278
gen_CF3-ph_7-deaz_pyrr_cyclo,O=C(C1=CCC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,cyclobutenylamide,412.4,2.79,0.81,2,0.267
gen_CF3-ph_7-deaz_pyrr_fluor,C=C(F)C(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,fluoroacrylamide,404.4,2.55,0.607,2,0.211
gen_CF3-ph_7-deaz_pyrr_propi,C#CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,propiolamide,384.4,1.7,0.748,1,0.198
gen_CF3-ph_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,acetyl,374.4,2.09,0.817,1,0.217
gen_CF3-ph_7-deaz_pyrr_cyclo,O=C(C1CC1)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,pyrrolidine,cyclopropanecarbonyl,400.4,2.48,0.827,2,0.202
gen_CF3-ph_7-deaz_pipe_acryl,C=CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,acrylamide,400.4,2.65,0.775,2,0.275
gen_CF3-ph_7-deaz_pipe_cyclo,O=C(C1=CCC1)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,cyclobutenylamide,426.4,3.18,0.788,2,0.261
gen_CF3-ph_7-deaz_pipe_fluor,C=C(F)C(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,fluoroacrylamide,418.4,2.94,0.592,2,0.208
gen_CF3-ph_7-deaz_pipe_propi,C#CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,CF3-phenyl,7-deazapurine,piperidine,propiolamide,398.4,2.09,0.735,1,0.196
