rank,gene,axis,log2FC,log2FC_GSE121212,log2FC_AD,psoriasis_specificity,ot_overall,ot_genetic,gwas_hit,gwas_min_pexp,gwas_n_assoc,ot_known_drug,priority_score
597,KIAA0101,inflammatory_up,1.406893991543956,1.1883888452741125,0.6464647188914954,0.7604292726524606,0.0,0.0,0,0,0,0.0,0.027744433800440192
598,INHBB,silenced_down,-1.129331277289047,-1.0477044686917911,-0.1930106374911449,-0.936320639797902,0.010797203794550826,0.0,0,0,0,0.0,0.02768663941161866
599,GNA15,inflammatory_up,1.3937911747120726,1.2852225445375698,0.9531658837951572,0.4406252909169152,0.017188823491622048,0.0,0,0,0,0.0,0.027686423160126716
600,CLCA2,inflammatory_up,1.281263098976105,1.3253765834049425,0.5542233184090648,0.7270397805670399,0.010462059947806052,0.0,0,0,0,0.0,0.027630283376802327
601,ASPG,inflammatory_up,1.3542827762421636,1.0768196199060631,0.5546023872056884,0.7996803890364752,0.0014783194187388072,0.0,0,0,0,0.0,0.027625462485930348
602,KPNA2,inflammatory_up,1.5162996265403974,1.7608981418122216,1.3523371509656306,0.1639624755747668,0.02234771509146007,0.0,0,0,0,0.0,0.0275998008073539
603,TGFB1I1,silenced_down,-1.0038037048600033,-0.6524748424105802,0.1573444166453574,-1.1611481215053607,0.008034254055767904,0.0,0,0,0,0.0,0.027578830097391576
604,KRT78,inflammatory_up,1.061726445909675,0.2363891295594093,0.035831144427231,1.0258953014824437,0.010786221239060673,0.0,0,0,0,0.0,0.027572487222997696
605,FOXM1,inflammatory_up,1.227672420286909,1.1690887406533954,0.899449369724282,0.3282230505626269,0.03426379437359101,0.0,0,0,0,0.0,0.027431030144853458
606,CKMT1B,inflammatory_up,1.3908326735274077,1.4317148872274554,0.8204971813062611,0.5703354922211465,0.010000881205330329,0.0,0,0,0,0.0,0.02737976814463796
607,S100P,inflammatory_up,1.5205519237560043,2.900416953176358,1.6907869859302491,-0.170235062174245,0.020949372823740382,0.0,0,0,0,0.0,0.02728582119264419
608,STXBP6,silenced_down,-1.1844829813192277,-1.6133948689839808,-0.5456081546192424,-0.6388748266999851,0.020923096903976035,0.0,0,0,0,0.0,0.02721723273455782
609,IGFBP5,silenced_down,-1.6301526240462785,-2.6169347842226163,-1.3837815453632103,-0.2463710786830679,0.008961101472661095,0.0,0,0,0,0.0,0.02720133212568713
610,KRT33B,silenced_down,-1.1508214965439216,-0.2076828567838295,-0.0607502469118214,-1.0900712496321,0.0,0.0,0,0,0,0.0,0.027127693238537778
611,AASS,inflammatory_up,1.2759616774468028,1.9788214443585908,0.6289414813509442,0.6470201960958586,0.01340380786064266,0.0,0,0,0,0.0,0.02700320972999555
612,NPTX2,silenced_down,-1.036787926913485,-0.5761146554793805,0.090880706241305,-1.12766863315479,0.005927666368503535,0.0,0,0,0,0.0,0.026987998716841752
613,ISM1,silenced_down,-1.2477178223711642,-1.3341226875856709,-0.4914760577867052,-0.756241764584459,0.009795989357329359,0.0,0,0,0,0.0,0.026986603783639217
614,SPC25,inflammatory_up,1.0577746536204882,0.8444129549010924,0.4564828704354922,0.601291783184996,0.031385716802283296,0.0,0,0,0,0.0,0.026984278407998954
615,ACOX2,silenced_down,-1.4197748124880405,-1.700863613106769,-0.9195055355794696,-0.500269276908571,0.010399158126100863,0.0,0,0,0,0.0,0.02692707103318761
616,PLN,silenced_down,-1.2389942192958756,-1.0822385469251918,-0.5369726437701194,-0.7020215755257562,0.013034369667711414,0.0,0,0,0,0.0,0.02691843961053146
617,AQP7,silenced_down,-1.0158903733017468,-0.9007120179291779,0.092776165650519,-1.108666538952266,0.00813075680306344,0.0,0,0,0,0.0,0.026876849491478526
618,ABCA3,silenced_down,-1.1637065067238426,-1.5408621869143535,-0.2343283918295915,-0.929378114894251,0.006692582464687069,0.0,0,0,0,0.0,0.026876743663899038
619,UBE2L6,inflammatory_up,1.3455374541301357,1.6495968657655364,0.8514805879519676,0.4940568661781679,0.01578735769154801,0.0,0,0,0,0.0,0.026818403258035084
620,ADRB2,silenced_down,-1.1921243245439097,-1.9346428462284184,-0.7051942040107826,-0.4869301205331271,0.027106510517900265,0.0,0,0,0,0.0,0.026788047894417223
621,SERHL2,silenced_down,-1.1321411290529553,-0.6915192410385171,-0.1709671315912664,-0.9611739974616887,0.006929210728453917,0.0,0,0,0,0.0,0.026712651048236332
622,ADRA2C,silenced_down,-1.065920409647476,-0.2731494837085155,0.1230707387560077,-1.188991148403484,0.0,0.0,0,0,0,0.0,0.026706776705225733
623,GAN,silenced_down,-1.419232414414068,-2.3641733810509558,-1.726995489301789,0.3077630748877209,0.01957560301789906,0.0,0,0,0,0.0,0.026630619287771384
624,MAMDC2,silenced_down,-1.36264654900749,-1.8090802016944665,-0.8648969533291369,-0.4977495956783531,0.013717094673998651,0.0,0,0,0,0.0,0.026553323819171394
625,COX7A1,silenced_down,-1.1551753407094818,-0.8125548745092515,-0.2248013757154525,-0.9303739649940292,0.006425654668154938,0.0,0,0,0,0.0,0.026539158722158722
626,DNASE1L3,inflammatory_up,1.1837622123771236,2.331806383873184,1.8214740226671984,-0.6377118102900745,0.019209279995962746,0.0,0,0,0,0.0,0.02647411984708841
627,ALDH1A3,inflammatory_up,1.449821666378794,2.7661200408147155,1.2507417372681786,0.1990799291106153,0.022535070538906594,0.0,0,0,0,0.0,0.026463138744955768
628,BCAR3,silenced_down,-1.578308586160463,-2.45192060973894,-1.4372574739854524,-0.1410511121750106,0.016228861672848382,0.0,0,0,0,0.0,0.026445434678386052
629,GPX2,inflammatory_up,1.226839155421754,1.2702596584484045,0.6327897043579109,0.5940494510638432,0.017571906415509025,0.0,0,0,0,0.0,0.026157248353979833
630,TK1,inflammatory_up,1.2937860972920867,1.155667851653244,0.8332756690451664,0.4605104282469203,0.01955510533160207,0.0,0,0,0,0.0,0.02613779073022479
631,TNS1,silenced_down,-1.1653054664099374,-1.1991378315668264,-0.4953160224914716,-0.6699894439184657,0.01251487646159517,0.0,1,-6,1,0.0,0.02613188721001368
632,ANGPTL7,silenced_down,-1.1424594697994956,-0.760235735757143,-0.1438582952851705,-0.9986011745143252,0.002802695183293499,0.0,0,0,0,0.0,0.02611551696220883
633,GK,inflammatory_up,1.195947359042389,1.5508945376897287,0.4836169179438645,0.7123304410985245,0.013545566435807307,0.0,0,0,0,0.0,0.026081772560507914
634,NCCRP1,inflammatory_up,1.1016375779142047,0.8245401663711593,0.2505294956957105,0.8511080822184942,0.013179217618056464,0.0,0,0,0,0.0,0.026067957301965643
635,GPR68,inflammatory_up,1.5750692773157953,2.362356007737784,1.4673183029121368,0.1077509744036584,0.01701069447669036,0.0,0,0,0,0.0,0.025974135358715133
636,C1QTNF7,silenced_down,-1.4261998381452146,-2.5339580412446767,-1.7618949160580677,0.3356950779128529,0.01600129005369245,0.0,0,0,0,0.0,0.025962116022607545
637,AURKB,inflammatory_up,1.2304509536064718,1.1742316194030815,0.6656985269197633,0.5647524266867086,0.018224545950287534,0.0,0,0,0,0.0,0.025917391019391528
638,ULBP2,inflammatory_up,1.2553000499255584,1.2836380645997283,0.9355185214052822,0.3197815285202762,0.028886643279339208,0.0,0,0,0,0.0,0.025874282086630274
639,ADH7,inflammatory_up,1.151931411352082,2.4173993260504583,0.6449453836697967,0.5069860276822853,0.026707813941730354,0.0,0,0,0,0.0,0.025867832284426913
640,CKMT1A,inflammatory_up,1.3452839861373924,1.0901146207141252,0.8013835546923636,0.5439004314450289,0.010837004826594743,0.0,0,0,0,0.0,0.025835510619882193
641,PLP1,silenced_down,-1.068193562459939,-1.226551955318758,-0.1482907651034111,-0.919902797356528,0.011412346985516568,0.0,0,0,0,0.0,0.025805165263784662
642,SCNN1D,inflammatory_up,1.424512159635865,1.765372319361194,1.107648711065686,0.3168634485701791,0.016660659849186358,0.0,0,0,0,0.0,0.025788253785802
643,MOGAT2,silenced_down,-1.3140176304673703,-1.8371396428128424,-0.9651080880772288,-0.3489095423901414,0.0229027383085777,0.0,0,0,0,0.0,0.02576431981615718
644,LYVE1,silenced_down,-1.357402262904806,-1.8600296942601693,-0.8813858109828789,-0.476016451921927,0.013155265416404691,0.0,0,0,0,0.0,0.025717637580479527
645,SLC27A2,silenced_down,-1.154142058323964,-1.1210379426894777,-0.4880020257651425,-0.6661400325588216,0.017970218224038065,0.0,0,0,0,0.0,0.02569589173501046
646,PDK3,silenced_down,-1.024843135444967,-0.0197501796248449,0.0899246641651059,-1.1147677996100729,0.004034029877368702,0.0,0,0,0,0.0,0.025598265752831643
647,SCO2,inflammatory_up,1.4085553554110768,1.2092297216990078,1.0043496467645348,0.404205708646542,0.01256571505927986,0.0,0,0,0,0.0,0.025476428812202065
648,LOX,silenced_down,-1.2051132763135275,-1.1239043282075318,-0.5863401418583392,-0.6187731344551883,0.01617145973919193,0.0,0,0,0,0.0,0.025467068217581837
649,KIF2C,inflammatory_up,1.2140585888858122,1.3722900852781397,0.6257812842304449,0.5882773046553673,0.01679490556982789,0.0,0,0,0,0.0,0.02534641227153629
650,GATM,silenced_down,-1.2314750760752888,-1.3159594168010915,-0.4478480118324812,-0.7836270642428076,0.005257730506264471,0.0,0,0,0,0.0,0.025234929883332563
651,POPDC2,silenced_down,-1.0869567982700978,-0.2392844089766395,-0.0021723953354446,-1.0847844029346532,0.0,0.0,0,0,0,0.0,0.025148207725102123
652,KANK2,silenced_down,-1.254363366678159,-1.0914195661270591,-0.518224528684005,-0.736138837994154,0.005608453165781843,0.0,0,0,0,0.0,0.025056775393162173
653,RGS20,inflammatory_up,1.335905294495671,1.7529755410735386,1.4864620737375334,-0.1505567792418622,0.029748853900262443,0.0,0,0,0,0.0,0.025053604072718283
654,TMEM132C,silenced_down,-1.2059544751548248,-1.09890170823746,-0.6405502513829714,-0.5654042237718534,0.01780199571388658,0.0,0,0,0,0.0,0.025041999587641844
655,NPTX1,silenced_down,-1.03382328806616,-2.298308694202599,-0.3934083311175094,-0.6404149569486506,0.026214274131357122,0.0,0,0,0,0.0,0.02499410933060752
656,MYH3,silenced_down,-1.0003944775786509,-0.6947948994202497,-0.1446575287367066,-0.8557369488419442,0.01722039893177571,0.0,0,0,0,0.0,0.024846677985635234
657,IRX6,silenced_down,-1.3464099262950429,-1.4555583445075782,-0.6471935858587168,-0.6992163404363261,0.0,0.0,0,0,0,0.0,0.02469700312287828
658,TCF7L1,silenced_down,-1.0630817430530537,-0.7024387474892488,-0.208327904880625,-0.8547538381724287,0.012336289403028874,0.0,0,0,0,0.0,0.02467239878833437
659,FN3K,silenced_down,-1.169547172664619,-0.6891990679920886,-0.2237417879605803,-0.9458053847040386,0.0,0.0,0,0,0,0.0,0.024665667863063644
660,SGK1,inflammatory_up,1.171662105102806,1.7602651249986714,1.6235064214781856,-0.4518443163753796,0.02514608626240111,0.0,0,0,0,0.0,0.024658951621957373
661,CDKN3,inflammatory_up,1.2280480464184678,1.1627192044626646,0.8230824077015795,0.4049656387168883,0.023112829544150046,0.0,0,0,0,0.0,0.024503319564779143
662,TNN,silenced_down,-1.0233320516271562,-0.5421551186647438,-0.0070698809395153,-1.016262170687641,0.006409111478238609,0.0,0,0,0,0.0,0.024465709895455247
663,MICALL1,inflammatory_up,1.0940600020085354,0.8298367782724361,0.3619913923212703,0.7320686096872651,0.01584185380850746,0.0,0,0,0,0.0,0.024446486495176476
664,KRT18,silenced_down,-1.0420545809789048,-0.856546267620194,-0.2351415411345074,-0.8069130398443973,0.015707306093460008,0.0,0,0,0,0.0,0.024431242672539138
665,SAMSN1,inflammatory_up,1.025521208669453,1.5905857626918627,1.712959935438066,-0.6874387267686131,0.023013807832977507,0.0,0,0,0,0.0,0.024429253933894366
666,C2orf82,silenced_down,-1.1199769918984266,-0.6395115885099921,-0.1185432729886393,-1.0014337189097873,0.0,0.0,0,0,0,0.0,0.024375536147369817
667,DDAH1,silenced_down,-1.1191209839496066,-1.5093101716722237,-0.3995923492895445,-0.719528634660062,0.0142343045555346,0.0,0,0,0,0.0,0.024263834240124307
668,SVEP1,silenced_down,-1.050132092986583,-1.7182834584450202,-0.6586462915450308,-0.3914858014415521,0.035755104524355964,0.0,0,0,0,0.0,0.024161952056166155
669,CRIP2,silenced_down,-1.1747383122105752,-1.358064693618247,-0.2978562871707284,-0.8768820250398468,0.0018805838080106789,0.0,0,0,0,0.0,0.024145173904430783
670,OLFML3,silenced_down,-1.473789471195598,-1.5390447787430728,-0.9817852404290726,-0.4920042307665255,0.0,0.0,0,0,0,0.0,0.024101669326763497
671,AGR2,silenced_down,-1.1214660646878616,-1.2945419151055402,-0.7999014094745467,-0.3215646552133149,0.024021173284966984,0.038689534837354364,0,0,0,0.0,0.024045079762810753
672,CREB3L1,silenced_down,-1.1310479558187216,-1.068140942334051,-0.2541467341863401,-0.8769012216323815,0.0047598258212240546,0.0,0,0,0,0.0,0.024039090300987512
673,DSG2,silenced_down,-1.1555118658637276,-1.091618827225151,-0.5144567430087461,-0.6410551228549815,0.015041382828829476,0.0,0,0,0,0.0,0.024020164760299955
674,HPGDS,silenced_down,-1.1071836685170062,-1.5303098512666884,-0.8061357571788494,-0.3010479113381568,0.03565866196408652,0.0,0,0,0,0.0,0.02390548671016572
675,AURKA,inflammatory_up,1.1402808229558596,1.518132565349585,0.6922777249156549,0.4480030980402048,0.025564087145493547,0.0,0,0,0,0.0,0.023830527521678163
676,MREG,inflammatory_up,1.1623008493908769,1.0149481809874183,0.5486670972427685,0.6136337521481083,0.015097195767430056,0.0,0,0,0,0.0,0.023669443902700177
677,SGCE,silenced_down,-1.135869842776394,-1.3368909133417253,-0.3248190564180251,-0.8110507863583689,0.006841832121716297,0.0,0,0,0,0.0,0.023653910964404484
678,CHPT1,silenced_down,-1.2522143288782788,-1.455113417139836,-0.7454580306101102,-0.5067562982681686,0.013966812160640265,0.0,0,0,0,0.0,0.023610812326284366
679,EFHD1,silenced_down,-1.0543787582798658,-0.6898258292178141,-0.1627180530823385,-0.8916607051975273,0.008337914016164894,0.0,0,0,0,0.0,0.0235598671204753
680,IRAK2,inflammatory_up,1.3159759563374378,1.860207673216678,1.044490406709031,0.2714855496284067,0.02126566294894592,0.0,0,0,0,0.0,0.023539689136112346
