gene,log2FC,mean_case,mean_ctrl,t,p,padj,log2FC_GSE121212,replicated,log2FC_AD,axis,psoriasis_specificity
CHI3L2,3.8960803483028084,6.229884485427795,2.3338041371249867,31.38952424295322,1.1237781772912123e-66,1.4783152748171568e-64,4.2109468911163965,True,3.3357853701374673,inflammatory_up,0.560294978165341
PGM2,1.352445961410917,5.061211818979289,3.708765857568372,28.583645476207167,4.934384990521478e-66,6.378228946443631e-64,1.141523906258219,True,0.6788043250511047,inflammatory_up,0.6736416363598123
ABCG4,1.6466036955392638,1.792955392842256,0.14635169730299216,39.00509932237898,5.824884422266665e-66,7.464388529051204e-64,2.670996890989263,True,1.4622738166692673,inflammatory_up,0.18432987886999652
SCIN,-1.2853426973002078,0.7257450030357974,2.011087700336005,-28.043464725700996,6.241780839774754e-66,7.930262579765103e-64,-2.607980516172384,True,-1.6673520029566675,silenced_down,0.38200930565645974
C1orf95,-1.1410702672223136,0.6732345288915432,1.8143047961138568,-27.819084068066296,1.4434839723559859e-65,1.8031419537035068e-63,-2.36025656855049,True,-0.82322591923587,silenced_down,-0.3178443479864437
WLS,-1.0306764107475024,4.405573622128525,5.4362500328760275,-27.785161367600455,2.1204032962266396e-65,2.62664958320075e-63,-0.8826440970286757,True,-0.4490441148591211,silenced_down,-0.5816322958883813
PLLP,-1.8995292941855535,3.2020998404639807,5.101629134649534,-28.29539278959027,3.0349067873074147e-65,3.728420611018572e-63,-1.8014900365989641,True,-1.2692188063320229,silenced_down,-0.6303104878535306
DSG3,1.881576244553358,6.643428464481784,4.761852219928426,30.276635762629226,6.527763281187953e-65,7.953705014332699e-63,2.0101640659660447,True,1.8242601172462045,inflammatory_up,0.05731612730715341
ALOX12B,2.09609442424315,6.9699145912463285,4.873820167003179,27.52452534808899,7.296104352827927e-65,8.817609041039605e-63,1.527887726903674,True,0.5164235111718893,inflammatory_up,1.5796709130712605
RNF222,1.4726724051658573,2.9569805756869147,1.4843081705210575,28.38415949108948,1.693949792075761e-64,2.0306906176779186e-62,1.713735799825007,True,0.9873387000918319,inflammatory_up,0.4853337050740254
WNK2,-1.9607407723570731,1.1371023549775365,3.0978431273346096,-27.243033580562972,3.158222228436879e-64,3.755757874057136e-62,-2.7031916885606977,True,-0.856505282103396,silenced_down,-1.104235490253677
GATA3,-1.6686576457081834,4.525783201849266,6.194440847557449,-27.171109506430028,4.447480461670534e-64,5.246968020851784e-62,-2.037924199452817,True,-0.7835176508105333,silenced_down,-0.8851399948976502
