gene,log2FC,mean_case,mean_ctrl,t,p,padj
FBXL7,-0.6620090183608447,1.6697799762124235,2.331788994573268,-13.088902573043255,2.357021409930447e-27,1.4647626780357899e-26
SVIL,-0.5793298977209798,3.8000303334449494,4.379360231165929,-13.092111670214283,2.3886590063533737e-27,1.483803432070326e-26
TOMM20,-0.48184392425604994,5.663795417692834,6.1456393419488835,-13.002367888310014,2.4148863146741225e-27,1.4994688833596838e-26
SLC38A7,0.4395155590017481,2.603846819617007,2.164331260615259,13.00976498792267,2.4336119631321714e-27,1.5104652121903852e-26
MECP2,-0.528915154655162,2.2233743505326773,2.7522895051878393,-13.014285932848084,2.5125024594105304e-27,1.558779176090882e-26
ZNF160,-0.6906387964274749,2.1147363677891455,2.8053751642166205,-12.994847547461948,2.588163872294395e-27,1.6050503112914553e-26
SESN1,-0.7988677322013888,3.104589788313953,3.903457520515342,-13.102417562887215,2.608482817668524e-27,1.6169765256314684e-26
NFX1,-0.3869863511552021,3.483535289530426,3.870521640685628,-12.988994236252555,2.661601921458577e-27,1.6492168637966547e-26
SLC22A5,-0.5844644406819275,1.4733103756538983,2.057774816335826,-13.21550637111662,2.6804358563120563e-27,1.6601949585032798e-26
KDM3B,-0.4988785355936587,3.664621830648702,4.163500366242361,-13.460045883960115,2.7154159921479952e-27,1.6811602966797145e-26
MPDU1,0.41452166259642453,4.614582362261732,4.200060699665308,13.127672534178194,2.7639789332859696e-27,1.7105140234511215e-26
MFAP2,-1.0427837741859376,3.543487646806245,4.586271420992182,-13.242691883753231,2.781902350000413e-27,1.720889655961554e-26
KCTD11,0.6021610919946783,4.694097904728268,4.091936812733589,12.978048497963721,2.7988016291356383e-27,1.7306233867346618e-26
C2orf86,-0.3487144290788887,0.8051572199328273,1.153871649011716,-13.063114783522652,2.81537099534352e-27,1.7401451079326993e-26
ATP9B,-0.3632967618002483,2.5463153610978284,2.9096121228980767,-12.977715484314025,2.874362582228879e-27,1.7758686527361716e-26
ZNF358,-0.9420695042878875,3.4797044231381498,4.421773927426037,-12.980534782909315,2.8850134768116597e-27,1.7817085721979777e-26
ATP6V1B1,-1.5823168880505425,2.4089532573027648,3.9912701453533073,-12.968807998465813,2.9628730237312953e-27,1.8290327033955858e-26
CINP,0.33305529411059576,4.174285420230957,3.841230126120361,13.115971379855747,2.9789118245487467e-27,1.8381703724332555e-26
