gene,meta_log2FC,meta_SE,meta_p,I2,n_cohorts,meta_padj,n_concordant
MAP6D1,0.3458237065092261,0.059951097213940714,8.001344475871974e-09,82.96173699848899,5,3.386574233549367e-08,5
UTRN,-0.6981988935859083,0.12115678789912332,8.274374740935286e-09,96.35714378483118,5,3.500838343389052e-08,5
ZCCHC7,-0.4192827402534796,0.0727655196295243,8.307009968788748e-09,85.00475040355849,5,3.513345836596114e-08,5
CTLA4,1.3751766726110661,0.23868936482808195,8.34361357782143e-09,98.7644953761785,5,3.5275218351203616e-08,5
TMEM143,-0.26860646953116035,0.04663063076926387,8.396406458999195e-09,74.59199994315222,5,3.548529339714558e-08,5
CTSF,-0.9542895217510868,0.16567118850649035,8.404335005707253e-09,97.46378256011151,5,3.5505675456483856e-08,5
FURIN,0.5989597897304494,0.10398725403556461,8.41464986578444e-09,93.17672062034322,5,3.553612015723965e-08,5
ZMYND11,-0.40149575745253296,0.06973522023487921,8.54033799235765e-09,94.26361853090003,5,3.6053598201119884e-08,5
ZFYVE28,0.26121689906762025,0.0453712252269748,8.545717689045773e-09,73.46991643441721,5,3.6062991739081315e-08,5
TMC5,2.6849746480192316,0.4664257848137394,8.588165067990872e-09,98.58561828817278,5,3.6228746515598396e-08,5
LRP8,1.8309990144885335,0.31814725386089737,8.654259531226671e-09,98.73175776437516,5,3.649409626004549e-08,5
GNLY,0.8592123607214849,0.14930594070263684,8.679075680362303e-09,93.4626630349124,5,3.658524822194021e-08,5
TMEM63B,0.13651044349432304,0.023723017693889934,8.697803588475495e-09,0.0,5,3.665067844579869e-08,5
SFTPD,0.4925762771783154,0.08560173128020243,8.701215525874773e-09,76.55010520081174,5,3.6651546017612525e-08,5
POT1,-0.25026657838191857,0.043493305232252664,8.708383569810962e-09,72.84251221454349,5,3.666822871826112e-08,5
ARHGAP6,-0.9066523487341666,0.1575805234495518,8.737241374845439e-09,94.34202267612054,5,3.6776194181602746e-08,5
TBC1D10C,0.3489155767475594,0.06067416492981871,8.89036733120463e-09,61.60459402760328,5,3.740694859415949e-08,4
INTS4,-0.19517687610393267,0.033949583249547936,8.976152932049786e-09,53.65436830936537,5,3.7754003060777466e-08,5
ST13,-0.33843222498576436,0.05887489092933854,9.012989687917639e-09,94.16662134839214,5,3.789499746681664e-08,5
STAP2,0.3667636215755404,0.06382153397974945,9.099850206695237e-09,80.35040590919483,5,3.8246135133433805e-08,5
CKMT2,-0.7076369107220741,0.12315705424728754,9.14825259989982e-09,92.34936262240689,5,3.8435436869553376e-08,5
IL12RB2,0.7883565968647709,0.13726371408237886,9.280942681044735e-09,97.09142441417924,5,3.896428084087529e-08,5
ABCB6,0.554435230040156,0.09653387167064857,9.277945745012062e-09,89.2894498768819,5,3.896428084087529e-08,5
SNX21,-0.4432510786809846,0.07718333370710344,9.310495041603417e-09,85.12591136808058,5,3.907400121718438e-08,4
AGR3,-1.4160597583879702,0.24662316831400644,9.367800091197864e-09,91.91070662194662,5,3.930006996057761e-08,5
NAA16,-0.31017301253332974,0.05402702483353479,9.407935541716483e-09,72.87853878522633,5,3.9453968860199135e-08,5
