name,smiles,vina,aryl,core,linker,warhead,MW,QED,sim_parent
"gen_Cl,F-p_thieno_pyrr_cyclo",O=C(C1CC1)N1CCC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.73,"Cl,F-phenyl",thienopyrimidine,pyrrolidine,cyclopropanecarbonyl,401.9,0.763,0.172
"gen_Cl,F-p_thieno_azet_acety",CC(=O)N1CC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.727,"Cl,F-phenyl",thienopyrimidine,azetidine,acetyl,361.8,0.768,0.185
gen_OCF3-p_7-deaz_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3[nH]ccc3=C(c3ccc(OC(F)(F)F)cc3)N=C21,-6.724,OCF3-phenyl,7-deazapurine,azetidine,cyclobutenylamide,414.4,0.837,0.402
"gen_Cl,F-p_thieno_pyrr_cyclo",O=C(C1=CCC1)N1CCC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.718,"Cl,F-phenyl",thienopyrimidine,pyrrolidine,cyclobutenylamide,413.9,0.745,0.232
"gen_Cl,F-p_9Me-pu_azet_cyclo",Cn1cnc2c1=NCC1CN(C(=O)C3CC3)C1=NC=2c1ccc(F)c(Cl)c1,-6.716,"Cl,F-phenyl",9Me-purine,azetidine,cyclopropanecarbonyl,385.8,0.781,0.237
gen_biphen_7-deaz_pipe_propi,C#CC(=O)N1CCC2CCN=c3[nH]ccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-6.716,biphenyl,7-deazapurine,piperidine,propiolamide,406.5,0.654,0.165
gen_pyridy_thieno_azet_cyclo,O=C(C1=CCC1)N1CC2CN=c3sccc3=C(c3cc(C(F)(F)F)ccn3)N=C21,-6.71,pyridyl-CF3,thienopyrimidine,azetidine,cyclobutenylamide,416.4,0.756,0.258
gen_OCHF2-_thieno_azet_cyclo,O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(OC(F)F)cc3)N=C21,-6.704,OCHF2-phenyl,thienopyrimidine,azetidine,cyclopropanecarbonyl,401.4,0.79,0.22
"gen_Cl,F-p_thieno_azet_cyclo",O=C(C1CC1)N1CC2CN=c3sccc3=C(c3ccc(F)c(Cl)c3)N=C21,-6.702,"Cl,F-phenyl",thienopyrimidine,azetidine,cyclopropanecarbonyl,387.9,0.781,0.181
gen_CF3-ph_7-deaz_pyrr_acety,CC(=O)N1CCC2CN=c3[nH]ccc3=C(c3ccc(C(F)(F)F)cc3)N=C21,-6.7,CF3-phenyl,7-deazapurine,pyrrolidine,acetyl,374.4,0.817,0.217
gen_biphen_thieno_azet_acryl,C=CC(=O)N1CC2CN=c3sccc3=C(c3ccc(-c4ccccc4)cc3)N=C21,-6.693,biphenyl,thienopyrimidine,azetidine,acrylamide,397.5,0.626,0.262
gen_biphen_9Me-pu_pyrr_cyclo,Cn1cnc2c1=NCC1CCN(C(=O)C3CC3)C1=NC=2c1ccc(-c2ccccc2)cc1,-6.689,biphenyl,9Me-purine,pyrrolidine,cyclopropanecarbonyl,423.5,0.65,0.244
gen_SF5-ph_thieno_azet_acety,CC(=O)N1CC2CN=c3sccc3=C(c3ccc(S(F)(F)(F)(F)F)cc3)N=C21,-6.685,SF5-phenyl,thienopyrimidine,azetidine,acetyl,435.4,0.656,0.191
